Location,value,present,max
122653976,1.680851064,62,12
122654001,1.723404255,62,10
122654026,1.765957447,53,10
122654051,1.595744681,53,10
122654076,1.659574468,55,11
122654101,1.446808511,47,9
122654126,1.382978723,57,7
122654151,1.234042553,57,9
122654176,1.042553191,45,8
122654201,1.085106383,51,8
122654226,1.191489362,49,10
122654251,1.106382979,49,9
122654276,0.85106383,40,6
122654301,0.893617021,51,6
122654326,0.659574468,40,5
122654351,0.723404255,36,6
122654376,0.723404255,36,5
122654401,0.787234043,49,5
122654426,0.808510638,47,5
122654451,0.872340426,49,5
122654476,0.957446809,49,4
122654501,0.659574468,34,4
122654526,0.510638298,28,4
122654551,0.595744681,30,5
122654576,0.361702128,23,3
122654601,0.29787234,26,2
122654626,0.170212766,17,1
122654651,0.14893617,15,1
122654676,0.234042553,19,2
122654701,0.276595745,21,3
122654726,0.319148936,26,2
122654751,0.361702128,28,2
122654776,0.553191489,40,3
122654801,0.574468085,38,3
122654826,0.765957447,34,6
122654851,0.617021277,30,6
122654876,0.510638298,34,3
122654901,0.382978723,28,3
122654926,0.70212766,40,4
122654951,0.893617021,47,6
122654976,1.170212766,55,8
122655001,0.914893617,47,5
122655026,0.382978723,26,3
122655051,0.106382979,9,2
122655076,0.042553191,2,2
122655101,0.106382979,9,2
122655126,0.617021277,36,4
122655151,0.957446809,49,4
122655176,0.914893617,51,4
122655201,0.893617021,55,4
122655226,0.787234043,51,4
122655251,1.170212766,53,7
122655276,1.595744681,57,8
122655301,1.978723404,62,12
122655326,2.425531915,62,15
122655351,2.70212766,60,21
122655376,2.85106383,64,22
122655401,2.893617021,64,25
122655426,2.021276596,60,17
122655451,0.893617021,38,9
122655476,0,0,0
122655501,0,0,0
122655526,0,0,0
122655551,0,0,0
122655576,0.276595745,19,3
122655601,0.659574468,28,7
122655626,0.744680851,40,7
122655651,0.617021277,34,5
122655676,0.936170213,53,6
122655701,1.212765957,57,5
122655726,1.617021277,53,9
122655751,1.765957447,60,11
122655776,1.659574468,57,9
122655801,1.659574468,49,11
122655826,2.021276596,53,13
122655851,2.382978723,62,15
122655876,2.808510638,64,21
122655901,2.829787234,62,23
122655926,2.531914894,53,21
122655951,2.29787234,60,20
122655976,2.446808511,68,27
122656001,2.425531915,60,30
122656026,2.382978723,57,29
122656051,2.468085106,57,20
122656076,2.872340426,57,23
122656101,2.936170213,57,28
122656126,3.361702128,66,30
122656151,3.574468085,62,30
122656176,3.255319149,62,26
122656201,3.042553191,68,23
122656226,2.659574468,57,14
122656251,2.638297872,64,14
122656276,2.510638298,64,26
122656301,2.255319149,62,28
122656326,1.468085106,47,21
122656351,1.063829787,47,14
122656376,1.276595745,49,13
122656401,1.425531915,51,16
122656426,0.978723404,49,13
122656451,1.042553191,43,12
122656476,1.638297872,51,19
122656501,2.127659574,51,31
122656526,2.531914894,49,35
122656551,2.212765957,49,32
122656576,2.170212766,60,31
122656601,2.617021277,64,30
122656626,2.936170213,68,32
122656651,2.574468085,62,35
122656676,1.978723404,60,26
122656701,2,60,28
122656726,2.170212766,62,34
122656751,2.063829787,55,32
122656776,1.70212766,53,29
122656801,1.659574468,62,29
122656826,1.617021277,55,23
122656851,1.255319149,47,13
122656876,1.170212766,51,11
122656901,1.319148936,55,12
122656926,1.085106383,40,14
122656951,1.468085106,53,16
122656976,2.106382979,62,21
122657001,2.085106383,62,23
122657026,2.106382979,64,24
122657051,2.361702128,62,20
122657076,2.638297872,66,22
122657101,2.468085106,60,20
122657126,2.638297872,66,15
122657151,2.957446809,68,20
122657176,3.191489362,72,18
122657201,3.021276596,70,20
122657226,3.234042553,77,21
122657251,3.978723404,77,26
122657276,3.872340426,72,26
122657301,4.191489362,83,37
122657326,3.382978723,77,36
122657351,4.659574468,66,44
122657376,6.574468085,66,54
122657401,8.361702128,66,62
122657426,9.382978723,70,73
122657451,10.31914894,79,74
122657476,11.23404255,81,76
122657501,10.61702128,72,79
122657526,10.82978723,68,78
122657551,9.744680851,66,72
122657576,9.808510638,74,66
122657601,10.25531915,68,86
122657626,10.59574468,66,111
122657651,8.680851064,68,97
122657676,6.234042553,64,77
122657701,4.468085106,70,60
122657726,3.659574468,62,53
122657751,4.127659574,74,53
122657776,4.446808511,72,53
122657801,4.382978723,77,47
122657826,4.170212766,72,53
122657851,4.212765957,79,46
122657876,4.106382979,81,36
122657901,3.638297872,79,36
122657926,3.595744681,70,44
122657951,2.680851064,55,37
122657976,2.468085106,66,35
122658001,2.446808511,57,34
122658026,2.382978723,51,37
122658051,2.425531915,60,36
122658076,2.319148936,62,24
122658101,2.255319149,49,26
122658126,2.234042553,49,29
122658151,2.29787234,60,29
122658176,2.191489362,60,28
122658201,2.340425532,51,34
122658226,2.808510638,57,38
122658251,2.872340426,53,34
122658276,2.70212766,47,33
122658301,2.468085106,40,31
122658326,2.914893617,60,37
122658351,2.936170213,55,35
122658376,2.914893617,57,37
122658401,2.957446809,62,34
122658426,2.70212766,60,32
122658451,2.744680851,55,40
122658476,3.404255319,66,40
122658501,3.595744681,66,37
122658526,3.957446809,62,44
122658551,4.382978723,66,40
122658576,4.446808511,64,36
122658601,4.680851064,68,37
122658626,4.319148936,64,33
122658651,3.425531915,57,30
122658676,2.404255319,51,23
122658701,1.787234043,38,21
122658726,1.382978723,40,15
122658751,0.893617021,34,9
122658776,0.29787234,19,3
122658801,0.021276596,2,1
122658826,0.042553191,2,2
122658851,0.191489362,13,3
122658876,0.765957447,38,8
122658901,1.638297872,47,19
122658926,2.021276596,57,22
122658951,2.191489362,60,21
122658976,2.744680851,62,25
122659001,3.106382979,72,27
122659026,2.85106383,68,22
122659051,2.744680851,68,23
122659076,2.829787234,70,24
122659101,2.85106383,72,19
122659126,2.234042553,74,15
122659151,2.14893617,70,13
122659176,2.340425532,62,18
122659201,2.127659574,66,23
122659226,1.85106383,62,16
122659251,1.553191489,64,10
122659276,1.319148936,57,8
122659301,1.021276596,47,7
122659326,0.659574468,40,5
122659351,0.638297872,30,7
122659376,0.361702128,17,5
122659401,0.127659574,11,2
122659426,0.021276596,2,1
122659451,0.042553191,4,1
122659476,0.106382979,2,5
122659501,0.191489362,2,9
122659526,0.680851064,23,10
122659551,1,30,10
122659576,1.191489362,45,10
122659601,1.234042553,49,12
122659626,1.021276596,51,4
122659651,1.063829787,49,4
122659676,0.936170213,43,6
122659701,1.063829787,49,10
122659726,1.127659574,45,12
122659751,1.127659574,38,12
122659776,0.680851064,32,6
122659801,0.191489362,17,2
122659826,0.276595745,15,4
122659851,0.744680851,26,13
122659876,1.063829787,47,11
122659901,1.382978723,57,10
122659926,1.765957447,62,17
122659951,1.680851064,55,18
122659976,1.765957447,55,14
122660001,1.361702128,53,8
122660026,1.382978723,53,9
122660051,1.468085106,49,10
122660076,1.659574468,60,13
122660101,1.85106383,55,15
122660126,1.744680851,60,14
122660151,1.893617021,60,15
122660176,1.829787234,62,15
122660201,1.85106383,62,19
122660226,1.531914894,64,10
122660251,1.531914894,55,11
122660276,1.425531915,57,12
122660301,1.14893617,55,7
122660326,1,51,8
122660351,0.829787234,38,7
122660376,0.893617021,43,7
122660401,0.893617021,40,6
122660426,1.042553191,45,5
122660451,1.021276596,45,7
122660476,0.659574468,43,5
122660501,0.063829787,4,2
122660526,0.063829787,4,2
122660551,0.106382979,9,2
122660576,0.340425532,19,5
122660601,0.489361702,28,6
122660626,0.361702128,19,8
122660651,0.617021277,30,11
122660676,0.680851064,32,11
122660701,0.595744681,36,6
122660726,0.276595745,26,2
122660751,0.276595745,26,2
122660776,0.510638298,32,3
122660801,0.468085106,28,3
122660826,0.553191489,30,5
122660851,0.70212766,40,5
122660876,0.787234043,45,5
122660901,0.531914894,30,5
122660926,0.212765957,13,5
122660951,0.127659574,4,5
122660976,0.042553191,2,2
122661001,0,0,0
122661026,0,0,0
122661051,0,0,0
122661076,0.021276596,2,1
122661101,0.085106383,6,2
122661126,0.191489362,15,3
122661151,0.319148936,21,5
122661176,0.468085106,28,7
122661201,0.765957447,36,6
122661226,0.723404255,40,4
122661251,0.234042553,19,2
122661276,0.042553191,2,2
122661301,0.127659574,2,6
122661326,0.14893617,4,6
122661351,0.29787234,9,7
122661376,1.127659574,49,10
122661401,1.70212766,57,13
122661426,2.127659574,64,16
122661451,1.85106383,57,14
122661476,1.595744681,51,8
122661501,1.212765957,53,6
122661526,0.914893617,55,5
122661551,1.404255319,64,6
122661576,1.936170213,70,8
122661601,1.872340426,60,8
122661626,2.191489362,66,12
122661651,2.85106383,79,16
122661676,3.234042553,83,17
122661701,3.553191489,81,14
122661726,2.978723404,77,13
122661751,2.723404255,77,12
122661776,2.319148936,79,11
122661801,2.531914894,70,16
122661826,2.170212766,68,20
122661851,1.914893617,62,24
122661876,1.595744681,60,22
122661901,1.531914894,57,18
122661926,1.553191489,55,16
122661951,1.106382979,47,8
122661976,0.595744681,36,5
122662001,0.127659574,13,1
122662026,0.021276596,2,1
122662051,0.063829787,4,2
122662076,0.106382979,4,4
122662101,0.382978723,23,4
122662126,0.744680851,36,5
122662151,1.127659574,57,6
122662176,1.446808511,66,6
122662201,1.382978723,57,9
122662226,1.361702128,53,13
122662251,1.361702128,55,16
122662276,1.191489362,49,13
122662301,0.957446809,47,11
122662326,0.829787234,45,5
122662351,0.936170213,55,5
122662376,0.829787234,53,5
122662401,0.765957447,45,5
122662426,0.765957447,40,6
122662451,0.680851064,36,5
122662476,0.70212766,38,6
122662501,0.893617021,45,6
122662526,1.191489362,47,7
122662551,1.063829787,47,9
122662576,1.29787234,55,8
122662601,1.382978723,57,9
122662626,1.574468085,53,10
122662651,1.829787234,66,10
122662676,2.021276596,72,10
122662701,1.787234043,66,9
122662726,1.446808511,60,9
122662751,1.446808511,60,9
122662776,1.361702128,62,6
122662801,1.276595745,55,6
122662826,1.085106383,51,7
122662851,1.468085106,53,14
122662876,1.723404255,60,15
122662901,2.085106383,60,17
122662926,1.85106383,60,13
122662951,1.787234043,62,13
122662976,1.872340426,62,14
122663001,1.85106383,68,9
122663026,1.787234043,53,13
122663051,1.829787234,55,12
122663076,1.744680851,60,10
122663101,1.723404255,62,9
122663126,1.553191489,66,7
122663151,0.978723404,57,6
122663176,0.319148936,23,3
122663201,0.127659574,13,1
122663226,1.29787234,57,8
122663251,1.595744681,68,10
122663276,1.021276596,49,13
122663301,1.382978723,51,18
122663326,2.106382979,55,20
122663351,2.382978723,62,20
122663376,1.893617021,64,16
122663401,1.723404255,57,14
122663426,1.212765957,49,9
122663451,0.617021277,34,4
122663476,0.106382979,4,4
122663501,0.723404255,43,4
122663526,1.191489362,57,5
122663551,1.404255319,57,10
122663576,1.063829787,40,10
122663601,1.063829787,43,10
122663626,0.829787234,36,8
122663651,0.29787234,23,2
122663676,0.042553191,4,1
122663701,0.170212766,13,2
122663726,0.170212766,13,2
122663751,0.085106383,6,2
122663776,0.085106383,4,3
122663801,0.382978723,26,5
122663826,0.638297872,43,5
122663851,1.021276596,47,8
122663876,1.29787234,53,10
122663901,1.468085106,53,15
122663926,0.744680851,36,11
122663951,0.404255319,26,7
122663976,0.319148936,26,2
122664001,0.70212766,43,3
122664026,0.978723404,57,4
122664051,0.70212766,43,5
122664076,0.468085106,23,7
122664101,0.468085106,21,8
122664126,0.765957447,36,8
122664151,0.659574468,34,5
122664176,0.510638298,30,5
122664201,0.617021277,36,4
122664226,0.553191489,34,4
122664251,0.29787234,19,3
122664276,0.340425532,28,2
122664301,0.319148936,28,2
122664326,0.14893617,13,2
122664351,0.319148936,19,5
122664376,0.638297872,34,5
122664401,0.765957447,38,6
122664426,0.382978723,28,4
122664451,0.127659574,13,1
122664476,0.276595745,23,3
122664501,0.574468085,34,6
122664526,0.638297872,30,7
122664551,0.425531915,21,6
122664576,0.425531915,21,5
122664601,0.510638298,28,5
122664626,0.70212766,32,6
122664651,0.978723404,47,7
122664676,0.978723404,49,6
122664701,1.382978723,51,10
122664726,1.723404255,51,10
122664751,1.893617021,60,14
122664776,2.127659574,57,16
122664801,1.936170213,57,12
122664826,2.191489362,64,13
122664851,2.170212766,64,13
122664876,2.106382979,62,15
122664901,2.234042553,57,17
122664926,2.255319149,62,17
122664951,1.978723404,51,15
122664976,1.978723404,49,18
122665001,1.659574468,53,14
122665026,1.723404255,62,12
122665051,1.808510638,64,14
122665076,1.829787234,49,15
122665101,1.978723404,47,15
122665126,2.319148936,49,11
122665151,2.510638298,62,11
122665176,2.510638298,64,13
122665201,2.319148936,53,15
122665226,2.425531915,51,20
122665251,2.255319149,51,22
122665276,2.021276596,53,21
122665301,1.70212766,53,22
122665326,1.553191489,51,23
122665351,1.617021277,47,24
122665376,1.638297872,43,21
122665401,1.744680851,60,20
122665426,1.85106383,60,17
122665451,1.70212766,49,16
122665476,1.914893617,51,14
122665501,2.29787234,57,20
122665526,2.617021277,66,19
122665551,2.744680851,74,21
122665576,2.680851064,64,15
122665601,2.680851064,55,20
122665626,2.659574468,62,18
122665651,2.468085106,64,17
122665676,1.85106383,62,11
122665701,2.021276596,60,11
122665726,2.042553191,55,12
122665751,1.936170213,51,13
122665776,2.063829787,64,14
122665801,2.063829787,62,14
122665826,1.957446809,60,13
122665851,1.936170213,57,11
122665876,2.319148936,64,11
122665901,2.361702128,66,12
122665926,2.382978723,64,13
122665951,2.70212766,79,16
122665976,3.553191489,77,25
122666001,3.723404255,68,24
122666026,3.85106383,64,24
122666051,4.553191489,68,32
122666076,4.489361702,66,28
122666101,4.063829787,68,26
122666126,3.680851064,66,29
122666151,3.872340426,68,25
122666176,3.29787234,66,23
122666201,3.234042553,66,24
122666226,2.85106383,70,20
122666251,2.489361702,72,15
122666276,1.893617021,60,11
122666301,1.914893617,57,11
122666326,1.893617021,68,12
122666351,1.914893617,64,11
122666376,1.70212766,57,11
122666401,1.744680851,62,10
122666426,1.829787234,57,9
122666451,1.765957447,60,11
122666476,1.659574468,60,9
122666501,1.446808511,57,7
122666526,1.319148936,53,7
122666551,1.255319149,51,6
122666576,1.170212766,55,5
122666601,1.255319149,57,6
122666626,1,47,6
122666651,0.404255319,23,4
122666676,0.106382979,6,3
122666701,0.127659574,9,3
122666726,0.382978723,28,3
122666751,0.382978723,28,4
122666776,0.319148936,23,3
122666801,0.468085106,36,2
122666826,0.680851064,45,3
122666851,0.744680851,45,4
122666876,0.787234043,47,4
122666901,0.787234043,49,4
122666926,0.765957447,45,4
122666951,0.829787234,45,6
122666976,0.914893617,38,7
122667001,0.829787234,40,7
122667026,0.659574468,34,6
122667051,0.106382979,6,2
122667076,0.085106383,9,1
122667101,0.29787234,21,3
122667126,0.553191489,34,5
122667151,0.531914894,30,6
122667176,0.255319149,21,2
122667201,0.021276596,2,1
122667226,0,0,0
122667251,0,0,0
122667276,0,0,0
122667301,0,0,0
122667326,0.127659574,11,2
122667351,0.425531915,21,6
122667376,0.872340426,38,8
122667401,1.14893617,51,9
122667426,1.319148936,53,12
122667451,1.489361702,60,12
122667476,1.382978723,57,12
122667501,1.042553191,51,9
122667526,0.787234043,45,6
122667551,0.425531915,34,3
122667576,0.127659574,9,2
122667601,0.106382979,11,1
122667626,0.234042553,21,2
122667651,0.276595745,23,2
122667676,0.255319149,21,2
122667701,0.276595745,23,2
122667726,0.361702128,28,3
122667751,0.361702128,26,2
122667776,0.255319149,19,2
122667801,0.191489362,15,2
122667826,0.063829787,6,1
122667851,0,0,0
122667876,0.063829787,6,1
122667901,0.446808511,36,2
122667926,0.489361702,38,2
122667951,0.255319149,19,3
122667976,0.361702128,32,2
122668001,0.446808511,32,3
122668026,0.489361702,32,3
122668051,0.29787234,21,3
122668076,0.14893617,11,3
122668101,0.29787234,19,3
122668126,0.553191489,38,4
122668151,0.70212766,45,5
122668176,0.744680851,45,6
122668201,0.808510638,45,4
122668226,0.978723404,53,4
122668251,0.957446809,53,4
122668276,0.893617021,53,5
122668301,0.893617021,51,6
122668326,1.127659574,60,5
122668351,1.127659574,57,4
122668376,1.127659574,51,7
122668401,1.276595745,60,9
122668426,1.255319149,53,7
122668451,1.106382979,60,5
122668476,0.744680851,45,3
122668501,0.382978723,26,3
122668526,0.170212766,13,3
122668551,0.085106383,4,3
122668576,0.063829787,2,3
122668601,0.042553191,2,2
122668626,0.021276596,2,1
122668651,0.042553191,2,2
122668676,0.234042553,17,3
122668701,0.404255319,30,3
122668726,0.553191489,38,3
122668751,0.574468085,43,3
122668776,0.595744681,38,3
122668801,0.595744681,43,4
122668826,0.553191489,36,4
122668851,0.553191489,38,3
122668876,0.680851064,36,5
122668901,0.574468085,28,4
122668926,0.574468085,36,4
122668951,0.404255319,32,2
122668976,0.319148936,28,2
122669001,0.255319149,26,1
122669026,0.29787234,26,2
122669051,0.29787234,21,3
122669076,0.361702128,28,3
122669101,0.361702128,26,3
122669126,0.234042553,17,3
122669151,0.276595745,19,2
122669176,0.468085106,32,3
122669201,0.574468085,36,3
122669226,0.70212766,43,4
122669251,0.70212766,38,4
122669276,0.765957447,53,4
122669301,0.553191489,34,4
122669326,0.489361702,32,3
122669351,0.404255319,32,2
122669376,0.638297872,36,4
122669401,0.85106383,45,5
122669426,1.021276596,49,8
122669451,0.936170213,53,7
122669476,0.744680851,47,6
122669501,0.659574468,36,6
122669526,0.595744681,34,5
122669551,0.510638298,38,4
122669576,0.425531915,28,6
122669601,0.276595745,13,6
122669626,0.14893617,6,3
122669651,0.191489362,11,3
122669676,0.361702128,23,4
122669701,0.446808511,36,2
122669726,0.531914894,32,5
122669751,0.595744681,40,6
122669776,0.617021277,45,5
122669801,0.468085106,36,3
122669826,0.489361702,34,3
122669851,0.553191489,38,4
122669876,0.744680851,45,3
122669901,0.914893617,45,5
122669926,1.106382979,60,5
122669951,1.29787234,57,5
122669976,1.255319149,60,6
